火警类型,纬度,经度,聚类簇
居民,31.242215,121.535422,2
单位,31.121782,121.575173,2
单位,31.207135,121.693661,0
杂物,30.939832,121.944291,3
杂物,30.91457,121.903079,3
车辆（电瓶车）,31.166486,121.668732,0
杂物,31.36394,121.5474,0
杂物,31.279174,121.674129,0
杂物,31.150781,121.483397,2
居民,31.185057,121.639354,0
电线,31.189496,121.52136,2
杂物,31.024864,121.569394,2
地下空间,31.150245,121.548092,2
电线,31.185451,121.635725,0
机动车,30.863126,121.913514,3
居民,31.240149,121.571492,0
杂物,31.207135,121.693661,0
杂物,30.905874,121.859785,3
杂物,31.190382,121.616188,0
电线,31.24681,121.579792,0
居民,31.267909,121.580023,0
电线,31.069115,121.667354,1
居民,31.246145,121.582129,0
居民,31.141784,121.759589,1
单位,30.895529,121.833913,3
杂物,31.155317,121.558395,2
居民,31.045487,121.704444,1
居民,31.067126,121.589983,2
车辆,31.050211,121.855332,1
居民,31.122621,121.509466,2
杂物,31.167965,121.536884,2
杂物,31.207135,121.693661,0
杂物,31.040881,121.763927,1
居民,31.117789,121.764216,1
杂物,31.150781,121.483397,2
车辆,31.249101,121.589414,0
居民,31.065867,121.755731,1
居民,31.222471,121.532249,2
杂物,30.847727,121.884031,3
车辆（电瓶车）,31.187192,121.520449,2
杂物,31.239054,121.567406,0
杂物,31.064606,121.707851,1
居民,31.188758,121.692157,0
居民,31.03013,121.762005,1
居民,31.110649,121.708584,1
电线,31.075626,121.640754,1
车辆,31.040499,121.783237,1
单位,31.125299,121.554336,2
杂物,31.183256,121.558453,2
居民,31.092049,121.603293,2
车辆,31.207135,121.693661,0
居民,31.172483,121.771552,1
居民,30.869252,121.853823,3
杂物,31.248114,121.574658,0
杂物,31.281552,121.578406,0
杂物,31.096828,121.603826,2
杂物,31.247353,121.699145,0
居民,31.021359,121.764265,1
杂物,30.914347,121.891557,3
车辆（电瓶车）,31.207135,121.693661,0
居民,31.371053,121.530673,0
居民,31.179518,121.500118,2
杂物,31.207135,121.693661,0
电线,31.320345,121.636649,0
居民,31.207135,121.693661,0
居民,31.236367,121.520266,2
杂物,31.079258,121.582254,2
杂物,31.124945,121.558445,2
杂物,31.22662,121.520399,2
居民,31.006955,121.870338,3
杂物,31.124977,121.585611,2
居民,31.069157,121.603759,2
单位,31.303737,121.673791,0
居民,31.179966,121.52258,2
杂物,31.053637,121.742021,1
杂物,31.180606,121.63718,0
居民,30.889007,121.817447,3
杂物,31.026358,121.737378,1
杂物,31.201261,121.698283,0
杂物,31.275211,121.679021,0
杂物,31.157021,121.516814,2
杂物,31.093609,121.606433,2
杂物,31.119396,121.549253,2
杂物,31.049027,121.726478,1
居民,31.24239,121.572012,0
居民,31.221778,121.51551,2
居民,31.164306,121.630974,0
单位,31.036187,121.703481,1
居民,31.026271,121.646293,1
垃圾,31.109321,121.59532,2
杂物,30.851582,121.833144,3
居民,31.367711,121.54538,0
车辆（电瓶车）,31.124644,121.508269,2
居民,31.060557,121.735912,1
杂物,31.170732,121.74694,1
杂物,30.914347,121.891557,3
杂物,31.022463,121.639936,1
杂物,31.11453,121.591682,2
车辆（电瓶车）,31.069286,121.602278,2
居民,31.183607,121.546882,2
居民,31.216761,121.622413,0
居民,31.165577,121.486699,2
单位,31.143683,121.617538,2
杂物,31.127334,121.616951,2
杂物,31.051495,121.549469,2
杂物,31.022623,121.775526,1
居民,31.290125,121.613755,0
杂物,31.170531,121.746594,1
杂物,31.203081,121.702476,0
电线,31.107822,121.563386,2
杂物,31.125409,121.642313,2
杂物,31.381796,121.525474,0
杂物,30.975801,121.848971,3
车辆,31.207135,121.693661,0
杂物,30.9732,121.786311,3
杂物,31.087192,121.588411,2
杂物,31.277304,121.674734,0
杂物,31.19399,121.527399,2
杂物,31.07297,121.586164,2
杂物,30.948591,121.909843,3
居民,31.121454,121.576475,2
杂物,31.275143,121.666037,0
居民,31.042078,121.752435,1
居民,31.257795,121.571452,0
居民,31.130648,121.587518,2
杂物,31.247353,121.699145,0
居民,31.14806,121.570996,2
居民,31.145344,121.510472,2
杂物,31.31982,121.649297,0
杂物,31.178518,121.753592,1
居民,31.266919,121.595187,0
杂物,31.170531,121.746594,1
杂物,31.024864,121.569394,2
居民,31.183904,121.706729,0
杂物,31.024434,121.737131,1
杂物,31.247353,121.699145,0
杂物,31.125409,121.642313,2
杂物,31.160969,121.660641,0
居民,31.20585,121.541916,2
杂物,31.207135,121.693661,0
杂物,31.209381,121.543462,2
车辆,31.078859,121.646794,1
杂物,31.150449,121.590384,2
杂物,31.207135,121.693661,0
杂物,30.873729,121.933294,3
居民,31.117299,121.581915,2
车辆,31.026261,121.662352,1
居民,31.315017,121.635102,0
杂物,31.215587,121.655539,0
杂物,30.883719,121.917462,3
杂物,31.050325,121.699218,1
